file,jaccard_similarity,avg_words_baseline,avg_words_llm,semantic_sim_baseline,semantic_sim_llm
page_01_Cryptocurrency.txt,0.3158,2.2,2.59,0.7957,0.7993
page_02_5G.txt,0.396,2.3,3.83,0.78,0.8453
page_03_Nuclear_energy.txt,0.6471,2.12,4.5,0.7426,0.8345
page_04_Economics.txt,0.3103,2.08,2.0,0.6739,0.781
page_05_Music.txt,0.3681,2.15,2.98,0.7648,0.8422
page_06_Sustainable_energy.txt,0.4078,2.28,3.19,0.815,0.8317
page_07_SpaceX.txt,0.4194,2.42,2.7,0.7436,0.7656
page_08_Biotechnology.txt,0.3235,2.13,1.96,0.814,0.7302
page_09_Video_game.txt,0.2547,2.43,2.53,0.7023,0.8583
page_10_Philosophy.txt,0.3053,2.18,1.7,0.8186,0.7471
page_11_Virtual_reality.txt,0.4167,2.18,3.97,0.788,0.9257
page_12_Cloud_computing.txt,0.1373,2.17,2.6,0.7893,0.7933
page_13_Renewable_energy.txt,0.4493,2.38,4.16,0.8246,0.8508
page_14_Machine_learning.txt,0.2621,2.37,2.22,0.7396,0.6955
page_15_Robotics.txt,0.3469,2.07,1.61,0.7311,0.7786
page_16_Astronomy.txt,0.3008,2.2,1.93,0.69,0.72
page_17_Mars.txt,0.3629,2.27,2.78,0.7092,0.7538
page_18_Data_science.txt,0.3889,2.22,2.29,0.6945,0.6808
page_19_Climate_change.txt,0.304,2.18,2.72,0.6936,0.8105
page_20_Python_(programming_language).txt,0.2982,2.37,3.27,0.7165,0.77
page_21_Neural_network.txt,0.4545,2.3,2.94,0.792,0.8707
page_22_Artificial_intelligence.txt,0.3909,2.27,4.56,0.873,0.8298
page_23_Healthcare.txt,0.3434,2.18,3.0,0.7345,0.783
page_24_Sports.txt,0.2407,2.18,2.87,0.8572,0.7974
page_25_Cybersecurity.txt,0.2826,2.22,2.45,0.7095,0.688
page_26_Global_warming.txt,0.2727,2.18,2.5,0.6936,0.7771
page_27_Education_technology.txt,0.2804,2.17,2.4,0.7561,0.8547
page_28_Augmented_reality.txt,0.3909,2.5,2.8,0.7763,0.8119
page_29_Blockchain.txt,0.375,2.15,3.68,0.7069,0.6571
page_30_Electric_vehicle.txt,0.4211,2.37,4.15,0.7609,0.8386
